id,severity,category,scope,expected,actual,problem,fix,action
F03,critical,duplicates,4 domains / 8 rows,One row per university,4 domains appear twice (8 rows),Duplicated institutions double-weight those universities and would appear twice in the final ranking. Three carry a mislabelled country (Mexican universities filed as US).,"Keep the geographically correct row, median the load time, drop the other 4 rows.",applied
F14,critical,impossible-value,a18_recent_notice_date,Notice date <= crawl date,"285 dates after the crawl, up to 2027-12-31","A notice cannot be posted after it was observed. Left uncorrected these produce negative recency, i.e. universities scoring as fresher than physically possible.",CENSOR to recency=0 and flag with notice_date_future - do not delete the rows; the presence of a dated notice is still real information.,deferred-to-nb02
F08,critical,missingness,a08_qs_value,Integer 1-2000 where displayed,94.96% null,Unusable AND prestige-leaking: the project's core claim requires ranking on website quality independently of institutional reputation.,Drop from the modelling dataset.,applied
F07,critical,missingness,a10_webometrics_value,Integer 1-30000 where displayed,99.35% null (8 usable values),"Unusable: 8 values cannot support any analysis. Also an external prestige benchmark, excluded from the primary model by design.",Drop from the modelling dataset.,applied
F13,critical,semantics,a66_broken_links,"Count of broken links, with a denominator to form a rate","81.1% zeros, no total-links column, one extreme value of 1129 against a second-highest of 59","Zero is ambiguous between 'checked, none found' and 'checker did not run'. Without a denominator, 2 broken links on a 20-link page cannot be distinguished from 2 on a 500-link page.",Read 0 as verified-absence (ok=True and render_error=null for EVERY row - no evidence of checker failure anywhere in the crawl metadata). Use log1p + winsorisation at p99 plus a broken_links_present binary. Absence of a denominator is a permanent documented limitation.,assumption-documented
F17,critical,confounding,member x region,Collectors overlap across regions so their effects can be separated,Perfect 1:1 mapping - zero overlap between collectors and regions,'African websites are slower' and 'M6 had a slower connection' are statistically indistinguishable in this design. No post-hoc method can separate them.,Report as an UNRESOLVABLE limitation. Mitigate with region-standardised load time and leave-one-region-out validation; never claim a causal regional difference in any timing-derived measure.,documented-limitation
F19,critical,leakage,"a07_qs_badge, a09_national_rank",Prestige variables excluded from the quality model,"Both are binary PRESENCE flags, not rank values","Easy to over-correct: these measure whether the site displays a credibility signal, which is a genuine (if weak and trivially gamed) website attribute. Dropping them discards real website information; weighting them normally smuggles in prestige.",KEEP as website features but assign the lowest rubric tier (near-zero weight).,kept-lowest-tier
F02,major,reliability,load_time_s / a62_load_speed_s,Same website -> same measured load time,Re-crawls disagree by up to 3.3x (UNAM 13.46s vs 4.07s) while agreeing on 99% of all other attributes,"Load time measures the collector's network conditions, not the website. It is also perfectly confounded with region (one collector per region).",Region-standardise (z-score within region); report all rankings with AND without it.,deferred-to-nb02
F12,major,measurement,a63_mobile_score,Continuous 0-100 responsiveness score,"13 distinct values; 95.7% fall on just [75, 90, 100]",Presented as continuous but actually a coarse rule-based heuristic. Scaling it as continuous implies precision the measurement does not have.,Recode as a 6-level ORDINAL feature.,deferred-to-nb02
F09,major,missingness,a18_recent_notice_date,ISO-8601 date or null,38.29% null,"Missingness is INFORMATIVE - no dated notice found is itself a freshness signal, not an absent measurement. Imputing a date would erase that signal.",Keep null; derive notice_recency_days plus an explicit a18_missing indicator.,deferred-to-nb02
F15,major,inconsistency,a16 / a17 / a18,"Notice-board flag, timestamp flag and date agree",382 rows have a date with the board flag off; 156 have the board flag on with no date,The three notice fields disagree on whether a notice board exists. Using them as three independent binaries triple-counts a contradictory signal.,Collapse into ONE ordinal notice_evidence (0 none / 1 undated board / 2 dated board / 3 dated and recent) that reconciles the contradiction explicitly.,deferred-to-nb02
F11,major,censoring,"a03_nav_item_count, a15_stat_item_count, a24_event_count",Uncensored counts,Mass piles up exactly on the schema maximum (20 / 10 / 20),Right-censored at the extractor cap. Treating the cap as a true count makes 'more' look monotonically better when the cap actually signals an undifferentiated dump.,Apply non-linear (inverted-U / diminishing-return) rubric curves rather than linear scaling; document the cap in the feature dictionary.,deferred-to-nb02/04
F18,major,categorical,country,One country per row,10 labels are multi-country buckets covering 170 rows,A 'country ranking' over a bucket such as Sub-Saharan Africa (42 universities across many countries) is not a country ranking at all.,Add country_is_bucket; publish country-level rankings ONLY for the 19 real countries with >=20 universities.,applied
F16,major,inconsistency,a23 / a24,Events flag agrees with the event count,327 rows flag events with count 0; 158 count events with the flag off,Same double-counting problem as the notice fields.,Collapse into one ordinal event_evidence.,deferred-to-nb02
F05,major,redundancy,a62_load_speed_s vs load_time_s,Distinct measurements,"Byte-identical in all 1,230 rows",Perfectly collinear duplicate. It inflates the technical block's apparent width and would double-count load time under any block-equal weighting.,Drop a62_load_speed_s; retain load_time_s (region-standardised in nb02).,applied
F06,minor,near-constant,"a75_bookmark, a59_feedback_form, a30_image_gallery, a65_https",Attributes that discriminate between universities,a75_bookmark=1.0%; a59_feedback_form=2.0%; a30_image_gallery=97.1%; a65_https=98.9%,"Almost no discriminative information. a65_https at 98.9% is a hygiene floor, not a differentiator - weighting it normally overstates its contribution.",Retain in the dataset (trees are unharmed) but FLAG; a65_https becomes a rubric GATE rather than a scored feature.,flagged
F04.ok,minor,no-variance,ok,Discriminative column,single value: [ True],Zero variance - carries no information for any model.,Drop.,applied
F04.extractor_version,minor,no-variance,extractor_version,Discriminative column,single value: ['0.1.0'],Zero variance - carries no information for any model.,Drop.,applied
F04.render_error,minor,no-variance,render_error,Discriminative column,100% null,Zero variance - carries no information for any model.,Drop.,applied
F01,minor,schema,"a[19, 52, 55, 56, 64, 68]",75-attribute specification,"69 attributes present; [19, 52, 55, 56, 64, 68] absent",Gaps could indicate silent scraper loss.,Report §4.6 documents six intentional exclusions (75-6=69). No action needed.,resolved-no-action
