pair_id,winner,confidence,reason
P0001,left,slight,admission notices + deeper service outweigh right's better wayfinding
P0002,right,clear,left has no primary menu and no task content at all - an empty shell
P0003,right,clear,"right has admission notices, 4x the service depth and far better alt-text"
P0004,right,slight,dated notices and 100% alt-text beat left's one extra task item
P0005,right,slight,left's 15% alt-text and 4 broken links outweigh its better menu
P0006,left,clear,"right fails the navigation gate - no primary menu, no logo"
P0007,right,slight,service depth 9/12 vs 4/12 and complete technical setup
P0008,left,clear,complete task coverage 6/6 and 100% alt-text vs 4/6 and 29%
P0009,right,clear,left offers nothing findable; 21 broken links still beats an empty shell
P0010,right,clear,left has 0% alt-text and no dated content; right is fresh and usable
P0011,left,clear,right has no task content whatsoever despite decent navigation
P0012,left,slight,dated notices and a department directory against right's thin freshness
P0013,left,slight,posted today with real events and deeper service; right is undated and static
P0014,left,slight,98 days stale beats 662 days - two years reads as abandonment
P0015,right,clear,"left is stale, has 15 broken links and 14% alt-text"
P0016,left,slight,search bar and admission notices are task-critical; right has neither
P0017,right,slight,"100% alt-text, full technical setup and mobile 100 against a 2nd-percentile slow site"
P0018,left,slight,search plus complete technical setup outweigh right's fresher notices
P0019,right,slight,complete 6/6 task coverage and best-in-pair accessibility
P0020,right,clear,left has a 1-item menu and 2.7:1 contrast - a real accessibility failure
P0021,right,slight,"left lists no academic programs at all, the single most important item"
P0022,left,slight,genuinely fresh with real events; right's 1-item menu is broken navigation
P0023,left,slight,department directory and dated notices; right is static
P0024,left,slight,complete task coverage and 100% alt-text against right's 2%
P0025,left,slight,dated notices and deeper service outweigh right's better accessibility
P0026,left,slight,complete 6/6 task coverage and better alt-text against a 3-item menu
P0027,right,clear,left has no task content and almost no service depth
P0028,left,slight,"dated notices, deeper service and stronger accessibility outweigh the degenerate menu"
P0029,left,slight,search bar plus notices posted today; right has neither
P0030,right,clear,left has no primary menu and no accessible design
P0031,left,slight,93% alt-text against 13% is a larger gap than the freshness difference
P0032,left,clear,right serves over plain HTTP and lists no academic programs
P0033,right,clear,"6/6 task coverage, 8/12 depth and 100% alt-text against a 1-item menu"
P0034,left,clear,"right offers contact only - no programs, departments or faculty"
P0035,right,slight,complete task coverage and fresh notices outweigh the missing menu since search is present
P0036,right,clear,left has one task item and zero service depth
P0037,right,clear,left has no task content at all
P0038,left,clear,right has no primary menu and only two task items
P0039,left,clear,"complete task coverage, posted today, 100% alt-text"
P0040,left,clear,right has 1.4:1 contrast and mobile 0/100 - effectively unusable
P0041,right,clear,"100% alt-text against 5%, plus working navigation and fresh notices"
P0042,left,clear,right is 98 days stale with 15 broken links and 14% alt-text
P0043,right,slight,"admission notices, deeper service and more events"
P0044,right,slight,"logo, wider menu and 100% alt-text"
P0045,right,clear,left has one service item and no programs listing despite right's 39 broken links
P0046,left,slight,"right has no menu, is 243 days stale and has 0% alt-text"
P0047,right,clear,88% alt-text against 2% and a real menu against zero items
P0048,left,slight,"100% alt-text against 40%, fresher, and far better mobile"
P0049,right,clear,left lists no academic programs; right does and is more accessible
P0050,left,slight,"breadcrumb, language toggle and real events against slightly deeper service"
P0051,left,slight,complete 6/6 task coverage and 100% alt-text against missing admissions information
P0052,right,clear,"left has no menu, is 784 days stale and has 10% alt-text"
P0053,right,clear,left offers contact only and almost no service depth
P0054,right,slight,left has no contact route at all; right is deeper with full technical setup
P0055,right,slight,"both complete on task, but right is deeper, more accessible and far faster"
P0056,left,slight,"complete task coverage, real dated events and 100% alt-text"
P0057,left,clear,search bar and 82% alt-text against no search and 13%
P0058,right,clear,left has no primary menu and no accessible design; right is complete
P0059,right,slight,service depth 10/12 against 5/12 and genuinely fresh content
P0060,right,slight,94% alt-text against 14% and dated events with times
P0061,left,slight,complete 6/6 task coverage and full technical setup
P0062,left,clear,"full navigation, 11/12 service depth, 100% alt-text - strong across the board"
P0063,right,slight,complete 6/6 task coverage edges out left's fresher notices
P0064,left,slight,dated notices with real events and deeper service
P0065,right,clear,left has no task content at all despite a wider menu
P0066,right,slight,94% alt-text and a logo; left has neither and no contact route either
P0067,right,clear,left has 1.4:1 contrast and mobile 0/100 and lists no programs
P0068,right,slight,"complete task coverage, real navigation and dated events with times"
P0069,left,slight,"dated notices, 100% alt-text and a usable menu against a 1-item menu"
P0070,right,slight,"department directory, fresh notices and better alt-text"
P0071,left,slight,"78% alt-text against 39%, plus fresher notices and an accessibility toggle"
P0072,left,slight,search bar and 9/12 service depth against 5/12 and no search
P0073,right,slight,94% alt-text against 48% and twice the service depth
P0074,left,clear,search bar and 8/12 depth against no search and 2/12
P0075,right,clear,left has no menu and no task content whatsoever
P0076,left,clear,"right lists no programs, is 641 days stale and has almost no service depth"
P0077,right,slight,"department directory, 90% alt-text and a real menu against a 2-item one"
