feature,block,type,formula,reason,expected_interpretation,direction,missing_treatment,notes,slr_factor
notice_recency_days,B3_notices_updates,count,"clip(crawl_date - a18_recent_notice_date, min=0)",Freshness is the single strongest available signal that a site is maintained. The clip censors the 285 impossible future dates rather than deleting those rows.,"Lower is better. 0 = posted today (or an impossible date, censored).",-1,Left NaN when no date exists; represented separately by a18_missing. Never imputed - absence of a dated notice is itself evidence.,285 rows censored; check notice_date_future before interpreting a 0.,Information quality
notice_evidence,B3_notices_updates,ordinal,3 if dated & recency<=90d; 2 if dated; 1 if board/timestamp flag only; else 0,Reconciles the a16/a17/a18 contradiction into ONE field. Undated notices get partial credit only - they are weak evidence of freshness.,Higher is better. Use this INSTEAD of a16+a17 to avoid triple-counting.,1,"0 is a genuine level (no evidence), not a missing value.",Resolves audit findings F15.,Information quality
event_evidence,B4_events_media,ordinal,3 if flag & count>0 & a27_event_datetime; 2 if flag & count>0; 1 if flag XOR count>0; else 0,327 rows flag events with count 0 and 158 count events with the flag off. Level 1 records that contradiction honestly instead of averaging it away.,"Higher is better. An event without a date-time is not actionable, hence level 2 vs 3.",1,0 is a genuine level.,Resolves audit finding F16.,Specific content
load_time_z_region,B9_technical_perf,continuous,(load_time_s - mean(load_time_s | region)) / sd(load_time_s | region),"Collector and region are perfectly confounded (audit F17), so raw load time cannot distinguish a slow website from a slow connection. Standardising within region discards the untrustworthy between-region component and keeps the within-region ordering.",Lower is better. 0 = regional average. NOT comparable as an absolute speed.,-1,No missing values.,Every ranking is produced with AND without this feature; see nb08.,Functionality
load_time_pct_region,B9_technical_perf,percentage,"rank(load_time_s within region, pct=True)","Bounded [0,1] alternative to the z-score, robust to the heavy right tail (max 42s).",Lower is better; 0.1 = among the fastest 10% in its region.,-1,No missing values.,,Functionality
broken_links_log,B9_technical_perf,continuous,"log1p(clip(a66_broken_links, upper=p99=10))","Absolute counts with no denominator and a 1,129 outlier. log1p compresses the tail; winsorisation stops one row driving the variance.",Lower is better.,-1,0 read as verified-absence (assumption A1).,A rate cannot be computed - permanent limitation A2.,Functionality
broken_links_present,B9_technical_perf,binary,1 if a66_broken_links > 0 else 0,"81% of rows are 0, so the count is mostly a presence indicator. Separating them lets a model use 'any broken links at all' independently of how many.",0 is better.,-1,n/a,,Functionality
mobile_ordinal,B9_technical_perf,ordinal,dense rank of a63_mobile_score,"a63 is a 3-to-6 level heuristic, not a Lighthouse measurement (audit F12). Treating it as continuous implies precision it does not have.","Higher is better, but only the ORDER is meaningful - the gap 75->90 is not 1.5x the gap 90->100.",1,No missing values.,,Functionality
content_completeness_B5,B5_page_content,percentage,mean of the 15 binary attributes in B5_page_content,"Information completeness within a conceptual dimension, on a common 0-1 scale regardless of how many columns the block happens to contain.",Higher is better. 1.0 = every element in the block present.,1,No missing values among these binaries.,"members: a32_vision_mission, a33_about_blurb, a34_department_links, a35_faculty_link, a36_research_highlight, a37_programs_listing, a38_scholarship, a39_library_link, a40_career_link, a41_alumni_link, a42_faq_link, a43_contact_link, a44_student_portal, a45_prospectus, a46_admissions_policy",Specific content
footer_completeness_B6,B6_footer,percentage,mean of the 5 binary attributes in B6_footer,"Information completeness within a conceptual dimension, on a common 0-1 scale regardless of how many columns the block happens to contain.",Higher is better. 1.0 = every element in the block present.,1,No missing values among these binaries.,"members: a47_footer_contact, a48_footer_sitemap, a49_copyright_line, a50_social_links, a51_quick_links",Usability
